time,ms,motvel,vehvel,
Wed Jun 25 08:21:57 EDT 2014,1403698917123,0.0,0.0,
Wed Jun 25 08:21:57 EDT 2014,1403698917280,0.0,0.0,
Wed Jun 25 08:21:58 EDT 2014,1403698918632,0.0,0.0,
Wed Jun 25 08:22:03 EDT 2014,1403698923226,0.0,0.0,
Wed Jun 25 08:22:08 EDT 2014,1403698928929,0.0,0.0,
Wed Jun 25 08:22:09 EDT 2014,1403698929126,0.0,0.0,
Wed Jun 25 08:22:09 EDT 2014,1403698929283,0.0,0.0,
Wed Jun 25 08:22:14 EDT 2014,1403698934024,0.0,0.0,
Wed Jun 25 08:22:14 EDT 2014,1403698934632,0.0,0.0,
Wed Jun 25 08:22:14 EDT 2014,1403698934778,0.0,0.0,
Wed Jun 25 08:22:15 EDT 2014,1403698935131,0.0,0.0,
Wed Jun 25 08:22:15 EDT 2014,1403698935485,0.0,0.0,
Wed Jun 25 08:22:16 EDT 2014,1403698936367,0.0,0.0,
Wed Jun 25 08:22:16 EDT 2014,1403698936830,0.0,0.0,
Wed Jun 25 08:22:18 EDT 2014,1403698938260,0.0,0.0,
